rank,city,state,population,2000-2013 growth
274,Burbank,CA,104709,4.2%
275,Richardson,TX,104475,13.2%
276,Pompano Beach,FL,104410,4.0%
277,North Charleston,SC,104054,27.4%
278,Broken Arrow,OK,103500,28.2%
279,Boulder,CO,103166,9.0%
280,West Palm Beach,FL,102436,23.5%
281,Santa Maria,CA,102216,30.9%
282,El Cajon,CA,102211,7.4%
283,Davenport,IA,102157,3.9%
284,Rialto,CA,101910,9.8%
285,Las Cruces,NM,101324,37.6%
286,San Mateo,CA,101128,9.0%
287,Lewisville,TX,101074,28.9%
288,South Bend,IN,100886,-6.8%
289,Lakeland,FL,100710,18.3%
290,Erie,PA,100671,-2.8%
291,Tyler,TX,100223,18.6%
292,Pearland,TX,100065,117.2%
293,College Station,TX,100050,45.2%
294,Kenosha,WI,99889,9.5%
295,Sandy Springs,GA,99770,17.4%
296,Clovis,CA,99769,42.6%
297,Flint,MI,99763,-20.0%
298,Roanoke,VA,98465,3.8%
299,Albany,NY,98424,4.1%
300,Jurupa Valley,CA,98030,3.2%
301,Compton,CA,97877,4.5%
302,San Angelo,TX,97492,10.2%
303,Hillsboro,OR,97368,36.4%
304,Lawton,OK,97151,4.9%
305,Renton,WA,97003,88.4%
306,Vista,CA,96929,7.7%
307,Davie,FL,96830,17.7%
308,Greeley,CO,96539,23.1%
309,Mission Viejo,CA,96346,2.9%
310,Portsmouth,VA,96205,-4.2%
311,Dearborn,MI,95884,-2.0%
312,South Gate,CA,95677,-0.8%
313,Tuscaloosa,AL,95334,21.1%
314,Livonia,MI,95208,-5.4%
315,New Bedford,MA,95078,1.2%
316,Vacaville,CA,94275,5.4%
317,Brockton,MA,94089,-0.3%
318,Roswell,GA,94034,15.2%
319,Beaverton,OR,93542,17.0%
320,Quincy,MA,93494,5.8%
321,Sparks,NV,93282,39.4%
322,Yakima,WA,93257,11.7%
323,Lee's Summit,MO,93184,31.2%
324,Federal Way,WA,92734,8.8%
325,Carson,CA,92599,2.9%
326,Santa Monica,CA,92472,9.6%
327,Hesperia,CA,92147,46.1%
